T_0174
BeatCount Mean SD BeatCountNoOutliers MeanNoOutliers SDNoOutliers
1943 787,674729799279 65,4024081307902 1917 785,23369848722 61,1387330470718

Trial TrialStatus Trialtype IBI AbsPosition RelPosition Outlier
0 0 0 770 1001 -15308 0
0 0 0 763 1764 -14545 0
0 0 0 768 2532 -13777 0
0 0 0 781 3313 -12996 0
0 0 0 799 4112 -12197 0
0 0 0 793 4905 -11404 0
0 0 0 765 5670 -10639 0
0 0 0 720 6390 -9919 0
0 0 0 723 7113 -9196 0
0 0 0 712 7825 -8484 0
0 0 0 713 8538 -7771 0
0 0 0 736 9274 -7035 0
0 0 0 773 10047 -6262 0
0 0 0 833 10880 -5429 0
0 0 0 863 11743 -4566 0
0 0 0 857 12600 -3709 0
0 0 0 835 13435 -2874 0
0 0 0 793 14228 -2081 0
1 1 S112 764 14992 -1317 0
1 1 S112 748 15740 -569 0
1 2 S112 738 16478 169 0
1 2 S112 733 17211 902 0
1 2 S112 742 17953 1644 0
1 2 S112 752 18705 2396 0
1 2 S112 752 19457 3148 0
1 2 S112 739 20196 3887 0
1 2 S112 725 20921 4612 0
1 2 S112 710 21631 5322 0
1 2 S112 715 22346 6037 0
1 2 S112 746 23092 6783 0
0 0 0 902 23994 -12027 0
0 0 0 1051 25045 -10976 1
0 0 0 1076 26121 -9900 1
0 0 0 1056 27177 -8844 1
0 0 0 1006 28183 -7838 1
0 0 0 945 29128 -6893 0
0 0 0 899 30027 -5994 0
0 0 0 841 30868 -5153 0
0 0 0 818 31686 -4335 0
0 0 0 811 32497 -3524 0
0 0 0 798 33295 -2726 0
2 1 S102 780 34075 -1946 0
2 1 S102 779 34854 -1167 0
2 1 S102 779 35633 -388 0
2 2 S102 801 36434 413 0
2 2 S102 862 37296 1275 0
2 2 S102 893 38189 2168 0
2 2 S102 892 39081 3060 0
2 2 S102 883 39964 3943 0
2 2 S102 863 40827 4806 0
2 2 S102 820 41647 5626 0
2 2 S102 781 42428 6407 0
0 0 0 767 43195 -8509 0
0 0 0 782 43977 -7727 0
0 0 0 829 44806 -6898 0
0 0 0 879 45685 -6019 0
0 0 0 875 46560 -5144 0
0 0 0 850 47410 -4294 0
0 0 0 828 48238 -3466 0
0 0 0 807 49045 -2659 0
3 1 S116 793 49838 -1866 0
3 1 S116 779 50617 -1087 0
3 1 S116 753 51370 -334 0
3 2 S116 750 52120 416 0
3 2 S116 761 52881 1177 0
3 2 S116 789 53670 1966 0
3 2 S116 804 54474 2770 0
3 2 S116 814 55288 3584 0
3 2 S116 813 56101 4397 0
3 2 S116 781 56882 5178 0
3 2 S116 776 57658 5954 0
3 2 S116 772 58430 6726 0
0 0 0 781 59211 -12205 0
0 0 0 811 60022 -11394 0
0 0 0 837 60859 -10557 0
0 0 0 828 61687 -9729 0
0 0 0 822 62509 -8907 0
0 0 0 798 63307 -8109 0
0 0 0 777 64084 -7332 0
0 0 0 759 64843 -6573 0
0 0 0 753 65596 -5820 0
0 0 0 762 66358 -5058 0
0 0 0 793 67151 -4265 0
0 0 0 850 68001 -3415 0
0 0 0 883 68884 -2532 0
4 1 S106 867 69751 -1665 0
4 1 S106 826 70577 -839 0
4 1 S106 810 71387 -29 0
4 2 S106 791 72178 762 0
4 2 S106 792 72970 1554 0
4 2 S106 799 73769 2353 0
4 2 S106 791 74560 3144 0
4 2 S106 784 75344 3928 0
4 2 S106 762 76106 4690 0
4 2 S106 754 76860 5444 0
4 2 S106 742 77602 6186 0
4 2 S106 749 78351 6935 0
0 0 0 791 79142 -6780 0
0 0 0 858 80000 -5922 0
0 0 0 879 80879 -5043 0
0 0 0 869 81748 -4174 0
0 0 0 840 82588 -3334 0
0 0 0 799 83387 -2535 0
5 1 S116 781 84168 -1754 0
5 1 S116 780 84948 -974 0
5 1 S116 786 85734 -188 0
5 2 S116 815 86549 627 0
5 2 S116 843 87392 1470 0
5 2 S116 850 88242 2320 0
5 2 S116 832 89074 3152 0
5 2 S116 805 89879 3957 0
5 2 S116 765 90644 4722 0
5 2 S116 755 91399 5477 0
5 2 S116 757 92156 6234 0
5 2 S116 783 92939 7017 0
0 0 0 826 93765 -10277 0
0 0 0 856 94621 -9421 0
0 0 0 850 95471 -8571 0
0 0 0 835 96306 -7736 0
0 0 0 811 97117 -6925 0
0 0 0 786 97903 -6139 0
0 0 0 785 98688 -5354 0
