T_0035
BeatCount Mean SD BeatCountNoOutliers MeanNoOutliers SDNoOutliers
1945 785,576863753213 111,166603639988 1934 780,002585315409 74,9167682914297

Trial TrialStatus Trialtype IBI AbsPosition RelPosition Outlier
0 0 0 700 1192 -14484 0
0 0 0 731 1923 -13753 0
0 0 0 776 2699 -12977 0
0 0 0 875 3574 -12102 0
0 0 0 849 4423 -11253 0
0 0 0 805 5228 -10448 0
0 0 0 854 6082 -9594 0
0 0 0 845 6927 -8749 0
0 0 0 786 7713 -7963 0
0 0 0 739 8452 -7224 0
0 0 0 689 9141 -6535 0
0 0 0 691 9832 -5844 0
0 0 0 714 10546 -5130 0
0 0 0 688 11234 -4442 0
0 0 0 670 11904 -3772 0
0 0 0 629 12533 -3143 0
0 0 0 605 13138 -2538 0
1 1 S112 601 13739 -1937 0
1 1 S112 599 14338 -1338 0
1 1 S112 606 14944 -732 0
1 1 S112 636 15580 -96 0
1 2 S112 688 16268 592 0
1 2 S112 739 17007 1331 0
1 2 S112 770 17777 2101 0
1 2 S112 795 18572 2896 0
1 2 S112 814 19386 3710 0
1 2 S112 811 20197 4521 0
1 2 S112 787 20984 5308 0
1 2 S112 754 21738 6062 0
1 2 S112 718 22456 6780 0
0 0 0 665 23121 -11853 0
0 0 0 644 23765 -11209 0
0 0 0 618 24383 -10591 0
0 0 0 623 25006 -9968 0
0 0 0 637 25643 -9331 0
0 0 0 682 26325 -8649 0
0 0 0 826 27151 -7823 0
0 0 0 836 27987 -6987 0
0 0 0 830 28817 -6157 0
0 0 0 883 29700 -5274 0
0 0 0 923 30623 -4351 0
0 0 0 869 31492 -3482 0
0 0 0 822 32314 -2660 0
2 1 S102 811 33125 -1849 0
2 1 S102 783 33908 -1066 0
2 1 S102 744 34652 -322 0
2 2 S102 763 35415 441 0
2 2 S102 780 36195 1221 0
2 2 S102 759 36954 1980 0
2 2 S102 747 37701 2727 0
2 2 S102 717 38418 3444 0
2 2 S102 709 39127 4153 0
2 2 S102 713 39840 4866 0
2 2 S102 697 40537 5563 0
2 2 S102 676 41213 6239 0
2 2 S102 692 41905 6931 0
0 0 0 697 42602 -8585 0
0 0 0 684 43286 -7901 0
0 0 0 650 43936 -7251 0
0 0 0 667 44603 -6584 0
0 0 0 682 45285 -5902 0
0 0 0 701 45986 -5201 0
0 0 0 672 46658 -4529 0
0 0 0 638 47296 -3891 0
0 0 0 620 47916 -3271 0
0 0 0 616 48532 -2655 0
0 0 0 622 49154 -2033 0
3 1 S116 635 49789 -1398 0
3 1 S116 642 50431 -756 0
3 1 S116 674 51105 -82 0
3 2 S116 704 51809 622 0
3 2 S116 737 52546 1359 0
3 2 S116 746 53292 2105 0
3 2 S116 782 54074 2887 0
3 2 S116 777 54851 3664 0
3 2 S116 795 55646 4459 0
3 2 S116 775 56421 5234 0
3 2 S116 746 57167 5980 0
3 2 S116 780 57947 6760 0
0 0 0 826 58773 -11695 0
0 0 0 779 59552 -10916 0
0 0 0 678 60230 -10238 0
0 0 0 666 60896 -9572 0
0 0 0 669 61565 -8903 0
0 0 0 701 62266 -8202 0
0 0 0 827 63093 -7375 0
0 0 0 877 63970 -6498 0
0 0 0 866 64836 -5632 0
0 0 0 901 65737 -4731 0
0 0 0 862 66599 -3869 0
0 0 0 878 67477 -2991 0
0 0 0 849 68326 -2142 0
4 1 S106 777 69103 -1365 0
4 1 S106 761 69864 -604 0
4 2 S106 743 70607 139 0
4 2 S106 741 71348 880 0
4 2 S106 685 72033 1565 0
4 2 S106 675 72708 2240 0
4 2 S106 686 73394 2926 0
4 2 S106 730 74124 3656 0
4 2 S106 834 74958 4490 0
4 2 S106 856 75814 5346 0
4 2 S106 835 76649 6181 0
4 2 S106 783 77432 6964 0
0 0 0 793 78225 -7678 0
0 0 0 767 78992 -6911 0
0 0 0 721 79713 -6190 0
0 0 0 688 80401 -5502 0
0 0 0 686 81087 -4816 0
0 0 0 697 81784 -4119 0
0 0 0 726 82510 -3393 0
0 0 0 741 83251 -2652 0
5 1 S116 804 84055 -1848 0
5 1 S116 845 84900 -1003 0
5 1 S116 876 85776 -127 0
5 2 S116 870 86646 743 0
5 2 S116 845 87491 1588 0
5 2 S116 814 88305 2402 0
5 2 S116 766 89071 3168 0
5 2 S116 734 89805 3902 0
5 2 S116 767 90572 4669 0
5 2 S116 803 91375 5472 0
5 2 S116 835 92210 6307 0
0 0 0 820 93030 -11092 0
0 0 0 836 93866 -10256 0
0 0 0 841 94707 -9415 0
0 0 0 819 95526 -8596 0
0 0 0 764 96290 -7832 0
0 0 0 779 97069 -7053 0
0 0 0 783 97852 -6270 0
0 0 0 756 98608 -5514 0
0 0 0 707 99315 -4807 0
0 0 0 733 100048 -4074 0
0 0 0 769 100817 -3305 0
0 0 0 810 101627 -2495 0
6 1 S106 810 102437 -1685 0
6 1 S106 790 103227 -895 0
6 1 S106 818 104045 -77 0
6 2 S106 822 104867 745 0
6 2 S106 801 105668 1546 0
6 2 S106 777 106445 2323 0
6 2 S106 785 107230 3108 0
6 2 S106 780 108010 3888 0
6 2 S106 741 108751 4629 0
6 2 S106 713 109464 5342 0
6 2 S106 713 110177 6055 0
6 2 S106 711 110888 6766 0
0 0 0 697 111585 -9812 0
0 0 0 647 112232 -9165 0
0 0 0 629 112861 -8536 0
0 0 0 611 113472 -7925 0
0 0 0 602 114074 -7323 0
0 0 0 607 114681 -6716 0
0 0 0 603 115284 -6113 0
0 0 0 589 115873 -5524 0
0 0 0 605 116478 -4919 0
0 0 0 658 117136 -4261 0
0 0 0 733 117869 -3528 0
0 0 0 770 118639 -2758 0
7 1 S102 775 119414 -1983 0
7 1 S102 769 120183 -1214 0
7 1 S102 760 120943 -454 0
7 2 S102 743 121686 289 0
7 2 S102 713 122399 1002 0
7 2 S102 690 123089 1692 0
7 2 S102 713 123802 2405 0
7 2 S102 733 124535 3138 0
7 2 S102 747 125282 3885 0
7 2 S102 740 126022 4625 0
7 2 S102 770 126792 5395 0
7 2 S102 834 127626 6229 0
0 0 0 868 128494 -8404 0
0 0 0 860 129354 -7544 0
0 0 0 836 130190 -6708 0
0 0 0 815 131005 -5893 0
0 0 0 777 131782 -5116 0
0 0 0 761 132543 -4355 0
0 0 0 759 133302 -3596 0
0 0 0 754 134056 -2842 0
0 0 0 681 134737 -2161 0
8 1 S112 679 135416 -1482 0
8 1 S112 672 136088 -810 0
8 1 S112 703 136791 -107 0
8 2 S112 771 137562 664 0
8 2 S112 819 138381 1483 0
8 2 S112 789 139170 2272 0
8 2 S112 808 139978 3080 0
8 2 S112 804 140782 3884 0
8 2 S112 748 141530 4632 0
8 2 S112 703 142233 5335 0
8 2 S112 692 142925 6027 0
8 2 S112 693 143618 6720 0
0 0 0 723 144341 -8605 0
