T_0117
BeatCount Mean SD BeatCountNoOutliers MeanNoOutliers SDNoOutliers
1593 935,757689893283 84,9757668245711 1568 936,785714285714 80,068091299742

Trial TrialStatus Trialtype IBI AbsPosition RelPosition Outlier
0 0 0 921 1518 -14917 0
0 0 0 873 2391 -14044 0
0 0 0 901 3292 -13143 0
0 0 0 941 4233 -12202 0
0 0 0 913 5146 -11289 0
0 0 0 918 6064 -10371 0
0 0 0 963 7027 -9408 0
0 0 0 937 7964 -8471 0
0 0 0 864 8828 -7607 0
0 0 0 924 9752 -6683 0
0 0 0 961 10713 -5722 0
0 0 0 911 11624 -4811 0
0 0 0 845 12469 -3966 0
0 0 0 897 13366 -3069 0
0 0 0 958 14324 -2111 0
1 1 S112 950 15274 -1161 0
1 1 S112 922 16196 -239 0
1 2 S112 965 17161 726 0
1 2 S112 983 18144 1709 0
1 2 S112 895 19039 2604 0
1 2 S112 939 19978 3543 0
1 2 S112 958 20936 4501 0
1 2 S112 904 21840 5405 0
1 2 S112 904 22744 6309 0
0 0 0 958 23702 -11599 0
0 0 0 949 24651 -10650 0
0 0 0 911 25562 -9739 0
0 0 0 968 26530 -8771 0
0 0 0 940 27470 -7831 0
0 0 0 915 28385 -6916 0
0 0 0 990 29375 -5926 0
0 0 0 946 30321 -4980 0
0 0 0 949 31270 -4031 0
0 0 0 988 32258 -3043 0
0 0 0 953 33211 -2090 0
2 1 S102 950 34161 -1140 0
2 1 S102 986 35147 -154 0
2 2 S102 941 36088 787 0
2 2 S102 1000 37088 1787 0
2 2 S102 1091 38179 2878 0
2 2 S102 969 39148 3847 0
2 2 S102 1076 40224 4923 0
2 2 S102 1053 41277 5976 0
2 2 S102 983 42260 6959 0
0 0 0 1054 43314 -7803 0
0 0 0 1014 44328 -6789 0
0 0 0 931 45259 -5858 0
0 0 0 1007 46266 -4851 0
0 0 0 998 47264 -3853 0
0 0 0 933 48197 -2920 0
3 1 S116 1025 49222 -1895 0
3 1 S116 1001 50223 -894 0
3 2 S116 1006 51229 112 0
3 2 S116 1073 52302 1185 0
3 2 S116 1053 53355 2238 0
3 2 S116 970 54325 3208 0
3 2 S116 990 55315 4198 0
3 2 S116 958 56273 5156 0
3 2 S116 913 57186 6069 0
0 0 0 996 58182 -12332 0
0 0 0 1027 59209 -11305 0
0 0 0 939 60148 -10366 0
