T_0085
BeatCount Mean SD BeatCountNoOutliers MeanNoOutliers SDNoOutliers
2070 754,825120772947 47,9071151685201 2041 753,181283684468 44,9596666523418

Trial TrialStatus Trialtype IBI AbsPosition RelPosition Outlier
0 0 0 717 1042 -14691 0
0 0 0 718 1760 -13973 0
0 0 0 696 2456 -13277 0
0 0 0 668 3124 -12609 0
0 0 0 660 3784 -11949 0
0 0 0 663 4447 -11286 0
0 0 0 678 5125 -10608 0
0 0 0 696 5821 -9912 0
0 0 0 682 6503 -9230 0
0 0 0 698 7201 -8532 0
0 0 0 709 7910 -7823 0
0 0 0 770 8680 -7053 0
0 0 0 854 9534 -6199 0
0 0 0 926 10460 -5273 1
0 0 0 862 11322 -4411 0
0 0 0 904 12226 -3507 1
0 0 0 869 13095 -2638 0
1 1 S112 839 13934 -1799 0
1 1 S112 816 14750 -983 0
1 1 S112 810 15560 -173 0
1 2 S112 809 16369 636 0
1 2 S112 767 17136 1403 0
1 2 S112 804 17940 2207 0
1 2 S112 794 18734 3001 0
1 2 S112 757 19491 3758 0
1 2 S112 794 20285 4552 0
1 2 S112 843 21128 5395 0
1 2 S112 824 21952 6219 0
1 2 S112 774 22726 6993 0
0 0 0 796 23522 -10248 0
0 0 0 794 24316 -9454 0
0 0 0 768 25084 -8686 0
0 0 0 738 25822 -7948 0
0 0 0 741 26563 -7207 0
0 0 0 748 27311 -6459 0
0 0 0 731 28042 -5728 0
0 0 0 732 28774 -4996 0
0 0 0 752 29526 -4244 0
0 0 0 774 30300 -3470 0
0 0 0 762 31062 -2708 0
2 1 S102 761 31823 -1947 0
2 1 S102 769 32592 -1178 0
2 1 S102 767 33359 -411 0
2 2 S102 731 34090 320 0
2 2 S102 762 34852 1082 0
2 2 S102 761 35613 1843 0
2 2 S102 745 36358 2588 0
2 2 S102 779 37137 3367 0
2 2 S102 844 37981 4211 0
2 2 S102 842 38823 5053 0
2 2 S102 800 39623 5853 0
2 2 S102 828 40451 6681 0
0 0 0 821 41272 -7949 0
0 0 0 767 42039 -7182 0
0 0 0 780 42819 -6402 0
0 0 0 763 43582 -5639 0
0 0 0 723 44305 -4916 0
0 0 0 726 45031 -4190 0
0 0 0 728 45759 -3462 0
0 0 0 731 46490 -2731 0
0 0 0 703 47193 -2028 0
3 1 S116 721 47914 -1307 0
3 1 S116 746 48660 -561 0
3 2 S116 765 49425 204 0
3 2 S116 739 50164 943 0
3 2 S116 805 50969 1748 0
3 2 S116 847 51816 2595 0
3 2 S116 814 52630 3409 0
3 2 S116 784 53414 4193 0
3 2 S116 810 54224 5003 0
3 2 S116 815 55039 5818 0
3 2 S116 768 55807 6586 0
0 0 0 775 56582 -10461 0
0 0 0 779 57361 -9682 0
0 0 0 762 58123 -8920 0
0 0 0 742 58865 -8178 0
