T_0038
BeatCount Mean SD BeatCountNoOutliers MeanNoOutliers SDNoOutliers
2151 713,380288238029 53,4657417993002 2111 715,08053055424 48,0899278018363

Trial TrialStatus Trialtype IBI AbsPosition RelPosition Outlier
0 0 0 689 951 -15794 0
0 0 0 687 1638 -15107 0
0 0 0 693 2331 -14414 0
0 0 0 702 3033 -13712 0
0 0 0 669 3702 -13043 0
0 0 0 675 4377 -12368 0
0 0 0 721 5098 -11647 0
0 0 0 663 5761 -10984 0
0 0 0 683 6444 -10301 0
0 0 0 651 7095 -9650 0
0 0 0 701 7796 -8949 0
0 0 0 748 8544 -8201 0
0 0 0 742 9286 -7459 0
0 0 0 770 10056 -6689 0
0 0 0 741 10797 -5948 0
0 0 0 666 11463 -5282 0
0 0 0 662 12125 -4620 0
0 0 0 670 12795 -3950 0
0 0 0 687 13482 -3263 0
0 0 0 719 14201 -2544 0
1 1 S112 742 14943 -1802 0
1 1 S112 757 15700 -1045 0
1 1 S112 758 16458 -287 0
1 2 S112 759 17217 472 0
1 2 S112 741 17958 1213 0
1 2 S112 706 18664 1919 0
1 2 S112 697 19361 2616 0
1 2 S112 717 20078 3333 0
1 2 S112 753 20831 4086 0
1 2 S112 787 21618 4873 0
1 2 S112 777 22395 5650 0
1 2 S112 725 23120 6375 0
0 0 0 682 23802 -11295 0
0 0 0 696 24498 -10599 0
0 0 0 746 25244 -9853 0
0 0 0 782 26026 -9071 0
0 0 0 771 26797 -8300 0
0 0 0 733 27530 -7567 0
0 0 0 684 28214 -6883 0
0 0 0 690 28904 -6193 0
0 0 0 703 29607 -5490 0
0 0 0 722 30329 -4768 0
0 0 0 748 31077 -4020 0
0 0 0 721 31798 -3299 0
0 0 0 680 32478 -2619 0
2 1 S102 691 33169 -1928 0
2 1 S102 702 33871 -1226 0
2 1 S102 720 34591 -506 0
2 2 S102 751 35342 245 0
2 2 S102 756 36098 1001 0
2 2 S102 726 36824 1727 0
2 2 S102 693 37517 2420 0
2 2 S102 721 38238 3141 0
2 2 S102 733 38971 3874 0
2 2 S102 758 39729 4632 0
2 2 S102 768 40497 5400 0
2 2 S102 717 41214 6117 0
2 2 S102 686 41900 6803 0
0 0 0 720 42620 -9652 0
0 0 0 753 43373 -8899 0
0 0 0 762 44135 -8137 0
0 0 0 752 44887 -7385 0
0 0 0 660 45547 -6725 0
0 0 0 658 46205 -6067 0
0 0 0 661 46866 -5406 0
0 0 0 663 47529 -4743 0
0 0 0 635 48164 -4108 0
0 0 0 620 48784 -3488 0
0 0 0 666 49450 -2822 0
0 0 0 704 50154 -2118 0
3 1 S116 644 50798 -1474 0
3 1 S116 618 51416 -856 0
3 1 S116 637 52053 -219 0
3 2 S116 692 52745 473 0
3 2 S116 760 53505 1233 0
3 2 S116 773 54278 2006 0
3 2 S116 766 55044 2772 0
3 2 S116 740 55784 3512 0
3 2 S116 695 56479 4207 0
3 2 S116 706 57185 4913 0
3 2 S116 734 57919 5647 0
3 2 S116 790 58709 6437 0
0 0 0 820 59529 -11692 0
0 0 0 809 60338 -10883 0
0 0 0 732 61070 -10151 0
0 0 0 732 61802 -9419 0
0 0 0 767 62569 -8652 0
0 0 0 762 63331 -7890 0
0 0 0 723 64054 -7167 0
0 0 0 681 64735 -6486 0
0 0 0 690 65425 -5796 0
0 0 0 708 66133 -5088 0
0 0 0 741 66874 -4347 0
0 0 0 766 67640 -3581 0
0 0 0 720 68360 -2861 0
0 0 0 680 69040 -2181 0
4 1 S106 696 69736 -1485 0
4 1 S106 721 70457 -764 0
4 1 S106 758 71215 -6 0
4 2 S106 764 71979 758 0
4 2 S106 754 72733 1512 0
4 2 S106 713 73446 2225 0
4 2 S106 721 74167 2946 0
4 2 S106 753 74920 3699 0
4 2 S106 803 75723 4502 0
4 2 S106 827 76550 5329 0
4 2 S106 823 77373 6152 0
4 2 S106 780 78153 6932 0
0 0 0 729 78882 -6298 0
0 0 0 735 79617 -5563 0
0 0 0 740 80357 -4823 0
0 0 0 756 81113 -4067 0
0 0 0 742 81855 -3325 0
0 0 0 696 82551 -2629 0
5 1 S116 720 83271 -1909 0
5 1 S116 737 84008 -1172 0
5 1 S116 757 84765 -415 0
5 2 S116 756 85521 341 0
5 2 S116 702 86223 1043 0
5 2 S116 686 86909 1729 0
5 2 S116 712 87621 2441 0
5 2 S116 766 88387 3207 0
5 2 S116 810 89197 4017 0
5 2 S116 814 90011 4831 0
5 2 S116 770 90781 5601 0
5 2 S116 710 91491 6311 0
5 2 S116 709 92200 7020 0
0 0 0 739 92939 -8289 0
0 0 0 780 93719 -7509 0
0 0 0 786 94505 -6723 0
0 0 0 727 95232 -5996 0
0 0 0 691 95923 -5305 0
0 0 0 713 96636 -4592 0
0 0 0 758 97394 -3834 0
0 0 0 798 98192 -3036 0
0 0 0 801 98993 -2235 0
6 1 S106 694 99687 -1541 0
6 1 S106 682 100369 -859 0
6 1 S106 699 101068 -160 0
6 2 S106 737 101805 577 0
6 2 S106 777 102582 1354 0
6 2 S106 785 103367 2139 0
6 2 S106 767 104134 2906 0
6 2 S106 722 104856 3628 0
6 2 S106 723 105579 4351 0
6 2 S106 740 106319 5091 0
6 2 S106 769 107088 5860 0
6 2 S106 805 107893 6665 0
0 0 0 807 108700 -10632 0
0 0 0 779 109479 -9853 0
0 0 0 710 110189 -9143 0
0 0 0 704 110893 -8439 0
0 0 0 715 111608 -7724 0
0 0 0 740 112348 -6984 0
0 0 0 772 113120 -6212 0
0 0 0 724 113844 -5488 0
0 0 0 684 114528 -4804 0
0 0 0 702 115230 -4102 0
0 0 0 728 115958 -3374 0
0 0 0 763 116721 -2611 0
7 1 S102 757 117478 -1854 0
7 1 S102 709 118187 -1145 0
7 1 S102 676 118863 -469 0
7 2 S102 698 119561 229 0
7 2 S102 727 120288 956 0
7 2 S102 769 121057 1725 0
7 2 S102 807 121864 2532 0
7 2 S102 755 122619 3287 0
7 2 S102 709 123328 3996 0
7 2 S102 724 124052 4720 0
7 2 S102 741 124793 5461 0
7 2 S102 753 125546 6214 0
7 2 S102 758 126304 6972 0
0 0 0 743 127047 -7686 0
0 0 0 692 127739 -6994 0
