T_0148
BeatCount Mean SD BeatCountNoOutliers MeanNoOutliers SDNoOutliers
2138 712,845182413471 45,2361440631788 2090 712,844497607656 40,5308507494147

Trial TrialStatus Trialtype IBI AbsPosition RelPosition Outlier
0 0 0 659 1248 -13329 0
0 0 0 667 1915 -12662 0
0 0 0 684 2599 -11978 0
0 0 0 753 3352 -11225 0
0 0 0 802 4154 -10423 0
0 0 0 774 4928 -9649 0
0 0 0 796 5724 -8853 0
0 0 0 796 6520 -8057 0
0 0 0 797 7317 -7260 0
0 0 0 772 8089 -6488 0
0 0 0 727 8816 -5761 0
0 0 0 720 9536 -5041 0
0 0 0 726 10262 -4315 0
0 0 0 729 10991 -3586 0
0 0 0 745 11736 -2841 0
0 0 0 711 12447 -2130 0
1 1 S112 715 13162 -1415 0
1 1 S112 732 13894 -683 0
1 2 S112 730 14624 47 0
1 2 S112 751 15375 798 0
1 2 S112 740 16115 1538 0
1 2 S112 727 16842 2265 0
1 2 S112 747 17589 3012 0
1 2 S112 764 18353 3776 0
1 2 S112 775 19128 4551 0
1 2 S112 768 19896 5319 0
1 2 S112 745 20641 6064 0
1 2 S112 753 21394 6817 0
0 0 0 743 22137 -11754 0
0 0 0 755 22892 -10999 0
0 0 0 746 23638 -10253 0
0 0 0 723 24361 -9530 0
0 0 0 736 25097 -8794 0
0 0 0 739 25836 -8055 0
0 0 0 747 26583 -7308 0
0 0 0 739 27322 -6569 0
0 0 0 727 28049 -5842 0
0 0 0 742 28791 -5100 0
0 0 0 760 29551 -4340 0
0 0 0 758 30309 -3582 0
0 0 0 732 31041 -2850 0
0 0 0 730 31771 -2120 0
2 1 S102 723 32494 -1397 0
2 1 S102 722 33216 -675 0
2 2 S102 700 33916 25 0
2 2 S102 695 34611 720 0
2 2 S102 718 35329 1438 0
2 2 S102 740 36069 2178 0
2 2 S102 757 36826 2935 0
2 2 S102 729 37555 3664 0
2 2 S102 729 38284 4393 0
2 2 S102 739 39023 5132 0
2 2 S102 732 39755 5864 0
2 2 S102 722 40477 6586 0
0 0 0 697 41174 -7787 0
0 0 0 701 41875 -7086 0
0 0 0 713 42588 -6373 0
0 0 0 715 43303 -5658 0
0 0 0 717 44020 -4941 0
0 0 0 704 44724 -4237 0
0 0 0 726 45450 -3511 0
0 0 0 740 46190 -2771 0
3 1 S116 779 46969 -1992 0
3 1 S116 771 47740 -1221 0
3 1 S116 748 48488 -473 0
3 2 S116 742 49230 269 0
3 2 S116 731 49961 1000 0
3 2 S116 730 50691 1730 0
3 2 S116 708 51399 2438 0
3 2 S116 683 52082 3121 0
3 2 S116 677 52759 3798 0
3 2 S116 695 53454 4493 0
3 2 S116 709 54163 5202 0
3 2 S116 735 54898 5937 0
3 2 S116 759 55657 6696 0
0 0 0 736 56393 -11765 0
0 0 0 740 57133 -11025 0
0 0 0 749 57882 -10276 0
0 0 0 762 58644 -9514 0
0 0 0 754 59398 -8760 0
0 0 0 715 60113 -8045 0
0 0 0 701 60814 -7344 0
0 0 0 689 61503 -6655 0
0 0 0 685 62188 -5970 0
0 0 0 679 62867 -5291 0
0 0 0 664 63531 -4627 0
0 0 0 673 64204 -3954 0
0 0 0 684 64888 -3270 0
0 0 0 709 65597 -2561 0
4 1 S106 737 66334 -1824 0
4 1 S106 754 67088 -1070 0
4 1 S106 754 67842 -316 0
4 2 S106 765 68607 449 0
4 2 S106 776 69383 1225 0
4 2 S106 760 70143 1985 0
4 2 S106 742 70885 2727 0
4 2 S106 718 71603 3445 0
4 2 S106 712 72315 4157 0
4 2 S106 706 73021 4863 0
4 2 S106 699 73720 5562 0
4 2 S106 685 74405 6247 0
4 2 S106 683 75088 6930 0
0 0 0 695 75783 -7694 0
0 0 0 711 76494 -6983 0
0 0 0 736 77230 -6247 0
0 0 0 744 77974 -5503 0
0 0 0 746 78720 -4757 0
0 0 0 738 79458 -4019 0
0 0 0 726 80184 -3293 0
0 0 0 698 80882 -2595 0
5 1 S116 677 81559 -1918 0
5 1 S116 675 82234 -1243 0
5 1 S116 671 82905 -572 0
5 2 S116 681 83586 109 0
5 2 S116 700 84286 809 0
5 2 S116 725 85011 1534 0
5 2 S116 751 85762 2285 0
5 2 S116 789 86551 3074 0
5 2 S116 801 87352 3875 0
5 2 S116 790 88142 4665 0
5 2 S116 766 88908 5431 0
5 2 S116 738 89646 6169 0
5 2 S116 717 90363 6886 0
0 0 0 703 91066 -10548 0
0 0 0 701 91767 -9847 0
0 0 0 686 92453 -9161 0
0 0 0 672 93125 -8489 0
0 0 0 693 93818 -7796 0
0 0 0 711 94529 -7085 0
0 0 0 741 95270 -6344 0
0 0 0 726 95996 -5618 0
0 0 0 698 96694 -4920 0
0 0 0 707 97401 -4213 0
0 0 0 705 98106 -3508 0
0 0 0 724 98830 -2784 0
0 0 0 722 99552 -2062 0
6 1 S106 714 100266 -1348 0
6 1 S106 716 100982 -632 0
6 2 S106 720 101702 88 0
6 2 S106 728 102430 816 0
6 2 S106 726 103156 1542 0
6 2 S106 702 103858 2244 0
6 2 S106 680 104538 2924 0
6 2 S106 682 105220 3606 0
6 2 S106 678 105898 4284 0
6 2 S106 681 106579 4965 0
6 2 S106 685 107264 5650 0
6 2 S106 690 107954 6340 0
6 2 S106 680 108634 7020 0
0 0 0 686 109320 -9485 0
0 0 0 695 110015 -8790 0
0 0 0 707 110722 -8083 0
0 0 0 734 111456 -7349 0
0 0 0 720 112176 -6629 0
0 0 0 725 112901 -5904 0
0 0 0 722 113623 -5182 0
0 0 0 724 114347 -4458 0
0 0 0 718 115065 -3740 0
0 0 0 699 115764 -3041 0
0 0 0 688 116452 -2353 0
7 1 S102 689 117141 -1664 0
7 1 S102 705 117846 -959 0
7 1 S102 722 118568 -237 0
7 2 S102 725 119293 488 0
7 2 S102 739 120032 1227 0
7 2 S102 743 120775 1970 0
7 2 S102 730 121505 2700 0
7 2 S102 726 122231 3426 0
7 2 S102 713 122944 4139 0
7 2 S102 695 123639 4834 0
7 2 S102 724 124363 5558 0
7 2 S102 736 125099 6294 0
0 0 0 765 125864 -7978 0
0 0 0 759 126623 -7219 0
0 0 0 770 127393 -6449 0
0 0 0 779 128172 -5670 0
0 0 0 781 128953 -4889 0
0 0 0 762 129715 -4127 0
0 0 0 732 130447 -3395 0
0 0 0 727 131174 -2668 0
8 1 S112 738 131912 -1930 0
8 1 S112 752 132664 -1178 0
8 1 S112 728 133392 -450 0
8 2 S112 708 134100 258 0
8 2 S112 711 134811 969 0
8 2 S112 720 135531 1689 0
8 2 S112 716 136247 2405 0
8 2 S112 711 136958 3116 0
8 2 S112 699 137657 3815 0
8 2 S112 726 138383 4541 0
8 2 S112 757 139140 5298 0
8 2 S112 782 139922 6080 0
8 2 S112 782 140704 6862 0
0 0 0 766 141470 -7690 0
0 0 0 782 142252 -6908 0
0 0 0 774 143026 -6134 0
0 0 0 765 143791 -5369 0
0 0 0 734 144525 -4635 0
