T_0048
BeatCount Mean SD BeatCountNoOutliers MeanNoOutliers SDNoOutliers
1550 937,538064516129 69,004033593396 1522 939,182654402102 64,1438110312526

Trial TrialStatus Trialtype IBI AbsPosition RelPosition Outlier
0 0 0 851 1336 -15486 0
0 0 0 854 2190 -14632 0
0 0 0 857 3047 -13775 0
0 0 0 830 3877 -12945 0
0 0 0 826 4703 -12119 0
0 0 0 853 5556 -11266 0
0 0 0 864 6420 -10402 0
0 0 0 882 7302 -9520 0
0 0 0 838 8140 -8682 0
0 0 0 844 8984 -7838 0
0 0 0 873 9857 -6965 0
0 0 0 884 10741 -6081 0
0 0 0 838 11579 -5243 0
0 0 0 901 12480 -4342 0
0 0 0 961 13441 -3381 0
0 0 0 1033 14474 -2348 0
1 1 S112 993 15467 -1355 0
1 1 S112 907 16374 -448 0
1 2 S112 949 17323 501 0
1 2 S112 986 18309 1487 0
1 2 S112 990 19299 2477 0
1 2 S112 969 20268 3446 0
1 2 S112 905 21173 4351 0
1 2 S112 872 22045 5223 0
1 2 S112 912 22957 6135 0
0 0 0 973 23930 -11542 0
0 0 0 981 24911 -10561 0
0 0 0 941 25852 -9620 0
0 0 0 917 26769 -8703 0
0 0 0 948 27717 -7755 0
0 0 0 957 28674 -6798 0
0 0 0 879 29553 -5919 0
0 0 0 833 30386 -5086 0
0 0 0 880 31266 -4206 0
0 0 0 925 32191 -3281 0
0 0 0 959 33150 -2322 0
2 1 S102 980 34130 -1342 0
2 1 S102 911 35041 -431 0
2 2 S102 949 35990 518 0
2 2 S102 1026 37016 1544 0
2 2 S102 1021 38037 2565 0
2 2 S102 939 38976 3504 0
2 2 S102 864 39840 4368 0
2 2 S102 897 40737 5265 0
2 2 S102 919 41656 6184 0
0 0 0 951 42607 -8399 0
0 0 0 971 43578 -7428 0
0 0 0 889 44467 -6539 0
0 0 0 902 45369 -5637 0
0 0 0 916 46285 -4721 0
0 0 0 918 47203 -3803 0
0 0 0 867 48070 -2936 0
0 0 0 863 48933 -2073 0
3 1 S116 911 49844 -1162 0
3 1 S116 977 50821 -185 0
3 2 S116 981 51802 796 0
3 2 S116 936 52738 1732 0
3 2 S116 911 53649 2643 0
3 2 S116 997 54646 3640 0
3 2 S116 1039 55685 4679 0
3 2 S116 1062 56747 5741 0
3 2 S116 959 57706 6700 0
0 0 0 908 58614 -11076 0
0 0 0 969 59583 -10107 0
0 0 0 1026 60609 -9081 0
0 0 0 989 61598 -8092 0
0 0 0 890 62488 -7202 0
0 0 0 954 63442 -6248 0
0 0 0 999 64441 -5249 0
0 0 0 1045 65486 -4204 0
0 0 0 965 66451 -3239 0
0 0 0 898 67349 -2341 0
4 1 S106 969 68318 -1372 0
4 1 S106 1034 69352 -338 0
4 2 S106 1044 70396 706 0
4 2 S106 978 71374 1684 0
4 2 S106 901 72275 2585 0
4 2 S106 956 73231 3541 0
4 2 S106 1010 74241 4551 0
4 2 S106 1041 75282 5592 0
4 2 S106 937 76219 6529 0
0 0 0 894 77113 -7514 0
0 0 0 966 78079 -6548 0
0 0 0 979 79058 -5569 0
0 0 0 1005 80063 -4564 0
0 0 0 912 80975 -3652 0
0 0 0 936 81911 -2716 0
5 1 S116 959 82870 -1757 0
5 1 S116 983 83853 -774 0
5 2 S116 912 84765 138 0
5 2 S116 882 85647 1020 0
5 2 S116 939 86586 1959 0
5 2 S116 976 87562 2935 0
5 2 S116 904 88466 3839 0
5 2 S116 863 89329 4702 0
5 2 S116 928 90257 5630 0
5 2 S116 973 91230 6603 0
0 0 0 987 92217 -8558 0
0 0 0 970 93187 -7588 0
0 0 0 895 94082 -6693 0
0 0 0 958 95040 -5735 0
0 0 0 966 96006 -4769 0
0 0 0 942 96948 -3827 0
0 0 0 889 97837 -2938 0
6 1 S106 950 98787 -1988 0
6 1 S106 982 99769 -1006 0
6 2 S106 1037 100806 31 0
6 2 S106 971 101777 1002 0
6 2 S106 912 102689 1914 0
6 2 S106 962 103651 2876 0
6 2 S106 998 104649 3874 0
6 2 S106 1015 105664 4889 0
6 2 S106 932 106596 5821 0
6 2 S106 874 107470 6695 0
0 0 0 909 108379 -11096 0
0 0 0 967 109346 -10129 0
0 0 0 988 110334 -9141 0
0 0 0 926 111260 -8215 0
0 0 0 893 112153 -7322 0
0 0 0 929 113082 -6393 0
0 0 0 944 114026 -5449 0
0 0 0 898 114924 -4551 0
0 0 0 865 115789 -3686 0
0 0 0 913 116702 -2773 0
7 1 S102 934 117636 -1839 0
7 1 S102 1010 118646 -829 0
7 2 S102 968 119614 139 0
7 2 S102 954 120568 1093 0
7 2 S102 998 121566 2091 0
7 2 S102 1011 122577 3102 0
7 2 S102 971 123548 4073 0
7 2 S102 885 124433 4958 0
7 2 S102 930 125363 5888 0
7 2 S102 988 126351 6876 0
0 0 0 976 127327 -7848 0
0 0 0 937 128264 -6911 0
0 0 0 891 129155 -6020 0
0 0 0 927 130082 -5093 0
0 0 0 961 131043 -4132 0
0 0 0 1016 132059 -3116 0
0 0 0 909 132968 -2207 0
8 1 S112 851 133819 -1356 0
8 1 S112 888 134707 -468 0
8 2 S112 940 135647 472 0
8 2 S112 1027 136674 1499 0
8 2 S112 1041 137715 2540 0
8 2 S112 981 138696 3521 0
8 2 S112 916 139612 4437 0
8 2 S112 954 140566 5391 0
8 2 S112 1005 141571 6396 0
0 0 0 1044 142615 -6850 0
0 0 0 974 143589 -5876 0
0 0 0 893 144482 -4983 0
0 0 0 935 145417 -4048 0
0 0 0 969 146386 -3079 0
0 0 0 957 147343 -2122 0
9 1 S116 904 148247 -1218 0
9 1 S116 952 149199 -266 0
9 2 S116 1022 150221 756 0
9 2 S116 1024 151245 1780 0
9 2 S116 927 152172 2707 0
9 2 S116 898 153070 3605 0
9 2 S116 923 153993 4528 0
9 2 S116 937 154930 5465 0
9 2 S116 948 155878 6413 0
0 0 0 875 156753 -11247 0
0 0 0 881 157634 -10366 0
0 0 0 922 158556 -9444 0
0 0 0 976 159532 -8468 0
0 0 0 941 160473 -7527 0
0 0 0 877 161350 -6650 0
0 0 0 914 162264 -5736 0
0 0 0 953 163217 -4783 0
0 0 0 953 164170 -3830 0
0 0 0 881 165051 -2949 0
0 0 0 832 165883 -2117 0
10 1 S102 846 166729 -1271 0
10 1 S102 880 167609 -391 0
10 2 S102 918 168527 527 0
10 2 S102 962 169489 1489 0
10 2 S102 911 170400 2400 0
10 2 S102 914 171314 3314 0
10 2 S102 950 172264 4264 0
10 2 S102 977 173241 5241 0
10 2 S102 981 174222 6222 0
0 0 0 892 175114 -10376 0
0 0 0 874 175988 -9502 0
0 0 0 904 176892 -8598 0
0 0 0 922 177814 -7676 0
0 0 0 944 178758 -6732 0
0 0 0 883 179641 -5849 0
0 0 0 821 180462 -5028 0
0 0 0 902 181364 -4126 0
0 0 0 920 182284 -3206 0
0 0 0 950 183234 -2256 0
11 1 S112 912 184146 -1344 0
11 1 S112 823 184969 -521 0
11 2 S112 909 185878 388 0
11 2 S112 940 186818 1328 0
11 2 S112 983 187801 2311 0
11 2 S112 971 188772 3282 0
11 2 S112 889 189661 4171 0
11 2 S112 843 190504 5014 0
11 2 S112 974 191478 5988 0
11 2 S112 975 192453 6963 0
0 0 0 978 193431 -5471 0
0 0 0 925 194356 -4546 0
0 0 0 863 195219 -3683 0
0 0 0 895 196114 -2788 0
12 1 S116 946 197060 -1842 0
12 1 S116 976 198036 -866 0
12 2 S116 913 198949 47 0
12 2 S116 838 199787 885 0
12 2 S116 994 200781 1879 0
12 2 S116 982 201763 2861 0
12 2 S116 1022 202785 3883 0
12 2 S116 953 203738 4836 0
12 2 S116 876 204614 5712 0
12 2 S116 914 205528 6626 0
0 0 0 947 206475 -10763 0
0 0 0 983 207458 -9780 0
0 0 0 921 208379 -8859 0
0 0 0 831 209210 -8028 0
0 0 0 929 210139 -7099 0
0 0 0 928 211067 -6171 0
0 0 0 936 212003 -5235 0
0 0 0 844 212847 -4391 0
0 0 0 928 213775 -3463 0
0 0 0 935 214710 -2528 0
13 1 S112 959 215669 -1569 0
13 1 S112 915 216584 -654 0
13 2 S112 845 217429 191 0
13 2 S112 982 218411 1173 0
13 2 S112 992 219403 2165 0
13 2 S112 1005 220408 3170 0
13 2 S112 925 221333 4095 0
13 2 S112 912 222245 5007 0
13 2 S112 969 223214 5976 0
13 2 S112 1002 224216 6978 0
0 0 0 997 225213 -10493 0
0 0 0 901 226114 -9592 0
0 0 0 920 227034 -8672 0
0 0 0 941 227975 -7731 0
0 0 0 951 228926 -6780 0
0 0 0 888 229814 -5892 0
0 0 0 911 230725 -4981 0
0 0 0 950 231675 -4031 0
0 0 0 947 232622 -3084 0
0 0 0 904 233526 -2180 0
14 1 S106 842 234368 -1338 0
14 1 S106 917 235285 -421 0
14 2 S106 938 236223 517 0
14 2 S106 973 237196 1490 0
14 2 S106 938 238134 2428 0
14 2 S106 868 239002 3296 0
14 2 S106 907 239909 4203 0
14 2 S106 944 240853 5147 0
14 2 S106 925 241778 6072 0
14 2 S106 851 242629 6923 0
0 0 0 825 243454 -9892 0
0 0 0 900 244354 -8992 0
0 0 0 892 245246 -8100 0
0 0 0 823 246069 -7277 0
0 0 0 786 246855 -6491 0
0 0 0 777 247632 -5714 0
0 0 0 803 248435 -4911 0
0 0 0 872 249307 -4039 0
0 0 0 925 250232 -3114 0
0 0 0 919 251151 -2195 0
15 1 S116 874 252025 -1321 0
15 1 S116 907 252932 -414 0
15 2 S116 946 253878 532 0
15 2 S116 969 254847 1501 0
15 2 S116 973 255820 2474 0
15 2 S116 914 256734 3388 0
15 2 S116 927 257661 4315 0
15 2 S116 963 258624 5278 0
15 2 S116 987 259611 6265 0
0 0 0 942 260553 -9819 0
0 0 0 894 261447 -8925 0
0 0 0 933 262380 -7992 0
0 0 0 967 263347 -7025 0
0 0 0 976 264323 -6049 0
0 0 0 894 265217 -5155 0
0 0 0 903 266120 -4252 0
0 0 0 930 267050 -3322 0
0 0 0 982 268032 -2340 0
16 1 S116 916 268948 -1424 0
16 1 S116 861 269809 -563 0
16 2 S116 869 270678 306 0
16 2 S116 904 271582 1210 0
16 2 S116 1020 272602 2230 0
16 2 S116 1045 273647 3275 0
16 2 S116 1019 274666 4294 0
16 2 S116 917 275583 5211 0
16 2 S116 946 276529 6157 0
0 0 0 975 277504 -8501 0
0 0 0 990 278494 -7511 0
0 0 0 995 279489 -6516 0
0 0 0 899 280388 -5617 0
0 0 0 932 281320 -4685 0
0 0 0 960 282280 -3725 0
0 0 0 996 283276 -2729 0
17 1 S106 966 284242 -1763 0
17 1 S106 905 285147 -858 0
17 2 S106 957 286104 99 0
17 2 S106 1006 287110 1105 0
17 2 S106 1011 288121 2116 0
17 2 S106 944 289065 3060 0
17 2 S106 865 289930 3925 0
17 2 S106 904 290834 4829 0
17 2 S106 927 291761 5756 0
17 2 S106 963 292724 6719 0
0 0 0 929 293653 -10754 0
0 0 0 884 294537 -9870 0
0 0 0 925 295462 -8945 0
0 0 0 952 296414 -7993 0
0 0 0 933 297347 -7060 0
0 0 0 873 298220 -6187 0
0 0 0 904 299124 -5283 0
0 0 0 957 300081 -4326 0
0 0 0 952 301033 -3374 0
0 0 0 921 301954 -2453 0
18 1 S102 863 302817 -1590 0
18 1 S102 879 303696 -711 0
18 2 S102 899 304595 188 0
18 2 S102 908 305503 1096 0
18 2 S102 885 306388 1981 0
18 2 S102 839 307227 2820 0
18 2 S102 867 308094 3687 0
18 2 S102 889 308983 4576 0
18 2 S102 912 309895 5488 0
18 2 S102 903 310798 6391 0
0 0 0 849 311647 -6205 0
0 0 0 877 312524 -5328 0
0 0 0 904 313428 -4424 0
0 0 0 938 314366 -3486 0
0 0 0 939 315305 -2547 0
19 1 S106 880 316185 -1667 0
19 1 S106 889 317074 -778 0
19 2 S106 918 317992 140 0
19 2 S106 943 318935 1083 0
19 2 S106 893 319828 1976 0
19 2 S106 847 320675 2823 0
19 2 S106 885 321560 3708 0
19 2 S106 902 322462 4610 0
19 2 S106 917 323379 5527 0
19 2 S106 862 324241 6389 0
0 0 0 852 325093 -9752 0
0 0 0 893 325986 -8859 0
0 0 0 917 326903 -7942 0
0 0 0 909 327812 -7033 0
0 0 0 870 328682 -6163 0
0 0 0 915 329597 -5248 0
0 0 0 953 330550 -4295 0
0 0 0 949 331499 -3346 0
0 0 0 880 332379 -2466 0
20 1 S112 875 333254 -1591 0
20 1 S112 888 334142 -703 0
20 2 S112 894 335036 191 0
20 2 S112 850 335886 1041 0
20 2 S112 875 336761 1916 0
20 2 S112 918 337679 2834 0
20 2 S112 963 338642 3797 0
20 2 S112 950 339592 4747 0
20 2 S112 885 340477 5632 0
20 2 S112 903 341380 6535 0
0 0 0 936 342316 -7997 0
0 0 0 983 343299 -7014 0
0 0 0 926 344225 -6088 0
0 0 0 865 345090 -5223 0
0 0 0 898 345988 -4325 0
0 0 0 942 346930 -3383 0
0 0 0 999 347929 -2384 0
21 1 S106 984 348913 -1400 0
21 1 S106 898 349811 -502 0
21 2 S106 931 350742 429 0
21 2 S106 962 351704 1391 0
21 2 S106 980 352684 2371 0
21 2 S106 952 353636 3323 0
21 2 S106 892 354528 4215 0
21 2 S106 940 355468 5155 0
21 2 S106 956 356424 6111 0
0 0 0 973 357397 -10456 0
0 0 0 887 358284 -9569 0
0 0 0 896 359180 -8673 0
0 0 0 927 360107 -7746 0
0 0 0 949 361056 -6797 0
0 0 0 886 361942 -5911 0
0 0 0 825 362767 -5086 0
0 0 0 809 363576 -4277 0
0 0 0 813 364389 -3464 0
0 0 0 871 365260 -2593 0
22 1 S116 998 366258 -1595 0
22 1 S116 1040 367298 -555 0
22 2 S116 970 368268 415 0
22 2 S116 933 369201 1348 0
22 2 S116 1025 370226 2373 0
22 2 S116 1074 371300 3447 0
22 2 S116 1102 372402 4549 0
22 2 S116 1025 373427 5574 0
22 2 S116 923 374350 6497 0
0 0 0 989 375339 -8644 0
0 0 0 1016 376355 -7628 0
0 0 0 998 377353 -6630 0
0 0 0 913 378266 -5717 0
0 0 0 908 379174 -4809 0
0 0 0 937 380111 -3872 0
0 0 0 986 381097 -2886 0
23 1 S112 968 382065 -1918 0
23 1 S112 908 382973 -1010 0
23 1 S112 987 383960 -23 0
23 2 S112 1071 385031 1048 0
23 2 S112 1070 386101 2118 0
23 2 S112 975 387076 3093 0
23 2 S112 940 388016 4033 0
23 2 S112 968 388984 5001 0
23 2 S112 1004 389988 6005 0
23 2 S112 963 390951 6968 0
0 0 0 914 391865 -8630 0
0 0 0 966 392831 -7664 0
0 0 0 1019 393850 -6645 0
0 0 0 1012 394862 -5633 0
0 0 0 934 395796 -4699 0
0 0 0 930 396726 -3769 0
0 0 0 950 397676 -2819 0
24 1 S106 996 398672 -1823 0
24 1 S106 963 399635 -860 0
24 2 S106 898 400533 38 0
24 2 S106 954 401487 992 0
24 2 S106 993 402480 1985 0
24 2 S106 945 403425 2930 0
24 2 S106 876 404301 3806 0
24 2 S106 905 405206 4711 0
24 2 S106 948 406154 5659 0
24 2 S106 1000 407154 6659 0
0 0 0 932 408086 -7297 0
0 0 0 883 408969 -6414 0
0 0 0 928 409897 -5486 0
0 0 0 944 410841 -4542 0
0 0 0 965 411806 -3577 0
0 0 0 897 412703 -2680 0
25 1 S102 907 413610 -1773 0
25 1 S102 957 414567 -816 0
25 2 S102 963 415530 147 0
25 2 S102 977 416507 1124 0
25 2 S102 902 417409 2026 0
25 2 S102 914 418323 2940 0
25 2 S102 936 419259 3876 0
25 2 S102 972 420231 4848 0
25 2 S102 917 421148 5765 0
25 2 S102 855 422003 6620 0
0 0 0 893 422896 -5948 0
0 0 0 926 423822 -5022 0
0 0 0 946 424768 -4076 0
0 0 0 885 425653 -3191 0
0 0 0 865 426518 -2326 0
26 1 S116 896 427414 -1430 0
26 1 S116 912 428326 -518 0
26 2 S116 932 429258 414 0
26 2 S116 879 430137 1293 0
26 2 S116 895 431032 2188 0
26 2 S116 932 431964 3120 0
26 2 S116 963 432927 4083 0
26 2 S116 972 433899 5055 0
26 2 S116 885 434784 5940 0
26 2 S116 897 435681 6837 0
0 0 0 945 436626 -6526 0
0 0 0 971 437597 -5555 0
0 0 0 965 438562 -4590 0
0 0 0 864 439426 -3726 0
0 0 0 862 440288 -2864 0
27 1 S106 925 441213 -1939 0
27 1 S106 889 442102 -1050 0
27 1 S106 837 442939 -213 0
27 2 S106 831 443770 618 0
27 2 S106 862 444632 1480 0
27 2 S106 842 445474 2322 0
27 2 S106 807 446281 3129 0
27 2 S106 759 447040 3888 1
27 2 S106 762 447802 4650 0
27 2 S106 804 448606 5454 0
27 2 S106 835 449441 6289 0
0 0 0 883 450324 -6704 0
0 0 0 865 451189 -5839 0
0 0 0 854 452043 -4985 0
0 0 0 892 452935 -4093 0
0 0 0 918 453853 -3175 0
0 0 0 878 454731 -2297 0
28 1 S102 841 455572 -1456 0
28 1 S102 860 456432 -596 0
28 2 S102 905 457337 309 0
28 2 S102 967 458304 1276 0
28 2 S102 928 459232 2204 0
28 2 S102 858 460090 3062 0
28 2 S102 889 460979 3951 0
28 2 S102 933 461912 4884 0
28 2 S102 958 462870 5842 0
28 2 S102 940 463810 6782 0
0 0 0 891 464701 -9817 0
0 0 0 934 465635 -8883 0
0 0 0 927 466562 -7956 0
0 0 0 917 467479 -7039 0
0 0 0 847 468326 -6192 0
0 0 0 866 469192 -5326 0
0 0 0 880 470072 -4446 0
0 0 0 922 470994 -3524 0
0 0 0 896 471890 -2628 0
29 1 S112 849 472739 -1779 0
29 1 S112 880 473619 -899 0
29 2 S112 925 474544 26 0
29 2 S112 979 475523 1005 0
29 2 S112 972 476495 1977 0
29 2 S112 885 477380 2862 0
29 2 S112 889 478269 3751 0
29 2 S112 922 479191 4673 0
29 2 S112 947 480138 5620 0
29 2 S112 906 481044 6526 0
0 0 0 855 481899 -5799 0
0 0 0 902 482801 -4897 0
0 0 0 910 483711 -3987 0
0 0 0 905 484616 -3082 0
0 0 0 852 485468 -2230 0
30 1 S112 892 486360 -1338 0
30 1 S112 933 487293 -405 0
30 2 S112 899 488192 494 0
30 2 S112 864 489056 1358 0
30 2 S112 929 489985 2287 0
30 2 S112 966 490951 3253 0
30 2 S112 943 491894 4196 0
30 2 S112 880 492774 5076 0
30 2 S112 888 493662 5964 0
30 2 S112 917 494579 6881 0
0 0 0 950 495529 -7570 0
0 0 0 920 496449 -6650 0
0 0 0 860 497309 -5790 0
0 0 0 910 498219 -4880 0
0 0 0 936 499155 -3944 0
0 0 0 975 500130 -2969 0
0 0 0 945 501075 -2024 0
31 1 S106 893 501968 -1131 0
31 1 S106 932 502900 -199 0
31 2 S106 953 503853 754 0
